reference-group,covid,earthquake,explosion,fire,flood,hostage,shooting,storm,tornado,wildfire,typhoon
typhoon,0.6970341205596924,0.7706580758094788,0.60950767993927,0.6579592823982239,0.8647740483283997,0.4936796724796295,0.4574297368526459,0.866821825504303,0.6882011294364929,0.7584049701690674,
storm,0.6398965716362,0.6879587173461914,0.6106573343276978,0.5797659158706665,0.6981313824653625,0.4769026041030884,0.4983135759830475,,0.767818033695221,0.7241127490997314,0.866821825504303
wildfire,0.6691873669624329,0.6020765900611877,0.6163828372955322,0.6992062330245972,0.7103273868560791,0.4711624085903168,0.4897937476634979,0.7241127490997314,0.7187274098396301,,0.7584049701690674
covid,,0.6313187479972839,0.5783333778381348,0.594831109046936,0.599704384803772,0.5632327795028687,0.6080726981163025,0.6398965716362,0.6349924206733704,0.6691873669624329,0.6970341205596924
flood,0.599704384803772,0.6721118092536926,0.54427170753479,0.648529052734375,,0.441060870885849,0.41918283700942993,0.6981313824653625,0.5950952768325806,0.7103273868560791,0.8647740483283997
shooting,0.6080726981163025,0.46836793422698975,0.6189794540405273,0.49704113602638245,0.41918283700942993,0.6444092392921448,,0.4983135759830475,0.5550657510757446,0.4897937476634979,0.4574297368526459
earthquake,0.6313187479972839,,0.6849886178970337,0.6179179549217224,0.6721118092536926,0.4252592921257019,0.46836793422698975,0.6879587173461914,0.6559548377990723,0.6020765900611877,0.7706580758094788
explosion,0.5783333778381348,0.6849886178970337,,0.6844611763954163,0.54427170753479,0.44883808493614197,0.6189794540405273,0.6106573343276978,0.743387758731842,0.6163828372955322,0.60950767993927
hostage,0.5632327795028687,0.4252592921257019,0.44883808493614197,0.4782175123691559,0.441060870885849,,0.6444092392921448,0.4769026041030884,0.4744146764278412,0.4711624085903168,0.4936796724796295
fire,0.594831109046936,0.6179179549217224,0.6844611763954163,,0.648529052734375,0.4782175123691559,0.49704113602638245,0.5797659158706665,0.5963482856750488,0.6992062330245972,0.6579592823982239
tornado,0.6349924206733704,0.6559548377990723,0.743387758731842,0.5963482856750488,0.5950952768325806,0.4744146764278412,0.5550657510757446,0.767818033695221,,0.7187274098396301,0.6882011294364929
